question;answer;difficulty;diff_score
Karaciğer fibrozisi nedir;Fibrozis, karaciğer dokusunda aşırı bağ dokusu oluşmasıdır. Kronik iltihaplanma sonucu gelişir ve ileri aşamada siroza dönüşebilir.;kolay;-185
Karaciğerde fibrozis ne şekilde tanımlanır?;Fibrozis, karaciğer dokusunda aşırı bağ dokusu oluşmasıdır. Kronik iltihaplanma sonucu gelişir ve ileri aşamada siroza dönüşebilir.;kolay;339
Karaciğer dokusunda skarlaşma ne demektir?;Fibrozis, karaciğer dokusunda aşırı bağ dokusu oluşmasıdır. Kronik iltihaplanma sonucu gelişir ve ileri aşamada siroza dönüşebilir.;orta;1256
Karaciğerdeki fibrozis tam olarak ne oluyor?;Fibrozis, karaciğer dokusunda aşırı bağ dokusu oluşmasıdır. Kronik iltihaplanma sonucu gelişir ve ileri aşamada siroza dönüşebilir.;orta;1322
Karaciğer ile ilgili: Fibrozis ile siroz arasındaki fark nedir;"Fibrozis, skar dokusu oluşumudur; siroz ise bu skarların karaciğerin yapısını ve işlevini ciddi şekilde bozduğu ileri evredir.";kolay;646
Karaciğer ile ilgili: Siroz ve fibrozis arasındaki temel farklar nelerdir?;"Fibrozis, skar dokusu oluşumudur; siroz ise bu skarların karaciğerin yapısını ve işlevini ciddi şekilde bozduğu ileri evredir.";zor;2012
Karaciğer ile ilgili: Fibrozis ile sirozun ayrımı nedir?;"Fibrozis, skar dokusu oluşumudur; siroz ise bu skarların karaciğerin yapısını ve işlevini ciddi şekilde bozduğu ileri evredir.";kolay;798
Karaciğer ile ilgili: Fibrozis ve siroz arasında ne gibi farklar var?;"Fibrozis, skar dokusu oluşumudur; siroz ise bu skarların karaciğerin yapısını ve işlevini ciddi şekilde bozduğu ileri evredir.";zor;1937
Karaciğer hastalıkları bulaşıcı mıdır;"Hepatit A, B ve C gibi viral enfeksiyonlar bulaşıcıdır; yağlı karaciğer, siroz gibi hastalıklar bulaşıcı değildir.";kolay;831
Bulaşıcı olan karaciğer hastalıkları hangileridir?;"Hepatit A, B ve C gibi viral enfeksiyonlar bulaşıcıdır; yağlı karaciğer, siroz gibi hastalıklar bulaşıcı değildir.";orta;128
Karaciğer rahatsızlıkları başkalarına geçer mi?;"Hepatit A, B ve C gibi viral enfeksiyonlar bulaşıcıdır; yağlı karaciğer, siroz gibi hastalıklar bulaşıcı değildir.";orta;1271
Karaciğer hastalıkları başkasına bulaşır mı?;"Hepatit A, B ve C gibi viral enfeksiyonlar bulaşıcıdır; yağlı karaciğer, siroz gibi hastalıklar bulaşıcı değildir.";orta;1262
Karaciğer ile ilgili: Hepatit B kronik midir;Bazı kişilerde Hepatit B enfeksiyonu kronikleşebilir ve ömür boyu taşıyıcılık riski taşır.;kolay;1152
Karaciğer ile ilgili: Hepatit B enfeksiyonu kalıcı olabilir mi?;Bazı kişilerde Hepatit B enfeksiyonu kronikleşebilir ve ömür boyu taşıyıcılık riski taşır.;zor;1799
Karaciğer ile ilgili: Hepatit B uzun süreli bir hastalık mıdır?;Bazı kişilerde Hepatit B enfeksiyonu kronikleşebilir ve ömür boyu taşıyıcılık riski taşır.;zor;2099
Karaciğer ile ilgili: Hepatit B hep kalır mı?;Bazı kişilerde Hepatit B enfeksiyonu kronikleşebilir ve ömür boyu taşıyıcılık riski taşır.;orta;1565
